RefDes     X          Y          Rot.       Exact     (FREE)    Side
D11        772.5000   800.0000   000        EXACT     (FREE)    Top                           
D12        772.5000   500.0000   000        EXACT     (FREE)    Top                           
D13        3325.0000  4965.0000  180        EXACT     (FREE)    Top                           
D14        3325.0000  5035.0000  180        EXACT     (FREE)    Top                           
D15        3325.0000  5110.0000  180        EXACT     (FREE)    Top                           
D16        3325.0000  5185.0000  180        EXACT     (FREE)    Top                           
D17        772.5000   6280.0000  000        EXACT     (FREE)    Top                           
D18        772.5000   5980.0000  000        EXACT     (FREE)    Top                           
D19        772.5000   5680.0000  000        EXACT     (FREE)    Top                           
D20        772.5000   5380.0000  000        EXACT     (FREE)    Top                           
D21        772.5000   5080.0000  000        EXACT     (FREE)    Top                           
D22        772.5000   4780.0000  000        EXACT     (FREE)    Top                           
D23        772.5000   4480.0000  000        EXACT     (FREE)    Top                           
D24        772.5000   4180.0000  000        EXACT     (FREE)    Top                           
D25        422.5000   580.0000   270        EXACT     (FREE)    Top                           
D26        312.5000   4200.0000  270        EXACT     (FREE)    Top                           
D27        2210.0000  1140.0000  090        EXACT     (FREE)    Top                           
D28        2480.0000  1650.0000  090        EXACT     (FREE)    Top                           
D29        3325.0000  5260.0000  180        EXACT     (FREE)    Top                           
D30        3325.0000  5335.0000  180        EXACT     (FREE)    Top                           
D31        2440.0000  2130.0000  090        EXACT     (FREE)    Top                           
D32        3325.0000  5410.0000  180        EXACT     (FREE)    Top                           
D33        3325.0000  5485.0000  180        EXACT     (FREE)    Top                           
D34        765.0000   6605.0000  000        EXACT     (FREE)    Top                           
D35        2265.0000  150.0000   180        EXACT     (FREE)    Top                           
D36        2265.0000  85.0000    180        EXACT     (FREE)    Top                           
D37        2280.0000  1960.0000  090        EXACT     (FREE)    Top                           
F1         3380.0000  2710.0000  270        EXACT     (FREE)    Top                           
F2         3200.0000  2710.0000  270        EXACT     (FREE)    Top                           
F3         3020.0000  2710.0000  270        EXACT     (FREE)    Top                           
F4         3175.0000  1725.0000  000        EXACT     (FREE)    Top                           
J1         280.0000   2810.0000  090        EXACT     (FREE)    Top                           
J2         3275.0000  5800.0000  270        EXACT     (FREE)    Top                           
J3         3175.0000  2125.0000  000        EXACT     (FREE)    Top                           
J4         3175.0000  4505.0000  000        EXACT     (FREE)    Top                           
J5         3320.0000  990.0000   000        EXACT     (FREE)    Top                           
J6         3175.0000  1335.0000  000        EXACT     (FREE)    Top                           
J11        3525.0000  6490.0000  270        EXACT     (FREE)    Top                           
L1         1912.5000  1180.0000  000        EXACT     (FREE)    Top                           
L2         2030.0000  3250.0000  180        EXACT     (FREE)    Top                           
R1         572.5000   3790.0000  180        EXACT     (FREE)    Top                           
R2         1062.5000  3740.0000  000        EXACT     (FREE)    Top                           
R3         1062.5000  3660.0000  000        EXACT     (FREE)    Top                           
R4         572.5000   3490.0000  180        EXACT     (FREE)    Top                           
R5         1062.5000  3440.0000  000        EXACT     (FREE)    Top                           
R6         1062.5000  3360.0000  000        EXACT     (FREE)    Top                           
R7         572.5000   3190.0000  180        EXACT     (FREE)    Top                           
R8         1062.5000  3140.0000  000        EXACT     (FREE)    Top                           
R9         1062.5000  3060.0000  000        EXACT     (FREE)    Top                           
R10        582.5000   2900.0000  180        EXACT     (FREE)    Top                           
R11        1072.5000  2850.0000  000        EXACT     (FREE)    Top                           
R12        1072.5000  2770.0000  000        EXACT     (FREE)    Top                           
R13        582.5000   2600.0000  180        EXACT     (FREE)    Top                           
R14        1072.5000  2550.0000  000        EXACT     (FREE)    Top                           
R15        1072.5000  2470.0000  000        EXACT     (FREE)    Top                           
R16        582.5000   2300.0000  180        EXACT     (FREE)    Top                           
R17        1072.5000  2250.0000  000        EXACT     (FREE)    Top                           
R18        1072.5000  2170.0000  000        EXACT     (FREE)    Top                           
R19        582.5000   2000.0000  180        EXACT     (FREE)    Top                           
R20        1072.5000  1950.0000  000        EXACT     (FREE)    Top                           
R21        1072.5000  1870.0000  000        EXACT     (FREE)    Top                           
R22        582.5000   1700.0000  180        EXACT     (FREE)    Top                           
R23        1072.5000  1650.0000  000        EXACT     (FREE)    Top                           
R24        1072.5000  1570.0000  000        EXACT     (FREE)    Top                           
R25        582.5000   1400.0000  180        EXACT     (FREE)    Top                           
R26        1072.5000  1350.0000  000        EXACT     (FREE)    Top                           
R27        1072.5000  1270.0000  000        EXACT     (FREE)    Top                           
R28        582.5000   1100.0000  180        EXACT     (FREE)    Top                           
R29        1072.5000  1050.0000  000        EXACT     (FREE)    Top                           
R30        1072.5000  970.0000   000        EXACT     (FREE)    Top                           
R31        582.5000   800.0000   180        EXACT     (FREE)    Top                           
R32        1072.5000  750.0000   000        EXACT     (FREE)    Top                           
R33        1072.5000  670.0000   000        EXACT     (FREE)    Top                           
R34        582.5000   500.0000   180        EXACT     (FREE)    Top                           
R35        1072.5000  450.0000   000        EXACT     (FREE)    Top                           
R36        1072.5000  370.0000   000        EXACT     (FREE)    Top                           
R37        862.5000   210.0000   000        EXACT     (FREE)    Top                           
R38        582.5000   210.0000   000        EXACT     (FREE)    Top                           
R39        1592.5000  2610.0000  000        EXACT     (FREE)    Top                           
R40        1772.5000  2610.0000  180        EXACT     (FREE)    Top                           
R41        2032.5000  2490.0000  180        EXACT     (FREE)    Top                           
R42        2032.5000  2560.0000  180        EXACT     (FREE)    Top                           
R43        2322.5000  2300.0000  000        EXACT     (FREE)    Top                           
R44        2032.5000  2280.0000  000        EXACT     (FREE)    Top                           
R45        2032.5000  2420.0000  180        EXACT     (FREE)    Top                           
R46        2032.5000  2350.0000  180        EXACT     (FREE)    Top                           
R47        2322.5000  2370.0000  000        EXACT     (FREE)    Top                           
R48        2132.5000  2150.0000  270        EXACT     (FREE)    Top                           
R49        2212.5000  2180.0000  000        EXACT     (FREE)    Top                           
R50        2490.0000  2850.0000  000        EXACT     (FREE)    Top                           
R51        680.0000   6770.0000  000        EXACT     (FREE)    Top                           
R52        2430.0000  3450.0000  000        EXACT     (FREE)    Top                           
R53        2708.0000  3287.0000  180        EXACT     (FREE)    Top                           
