Drill Listing
=============
Drill: .005  Tool: 1  Feed: 0  Speed: 0
X 391800  Y 441400
X 401400  Y 431400
X 401400  Y 441400
X 401400  Y 451400
X 411400  Y 451400
X 411400  Y 431400
X 411400  Y 441400
X 421400  Y 431400
X 421400  Y 441400
X 421400  Y 451400
X 421799  Y 476800
X 421799  Y 496800
X 421799  Y 486800
X 411799  Y 476800
X 411799  Y 466800
X 411799  Y 496800
X 411799  Y 486800
X 401799  Y 466800
X 401799  Y 476800
X 401799  Y 496800
X 401799  Y 486800
X 392500  Y 476800
X 392500  Y 466800
X 392500  Y 496800
X 392500  Y 486800
X 369500  Y 472500
X 357500  Y 480000
X 355500  Y 492000
X 342600  Y 491000
X 260500  Y 498500
X 227250  Y 492000
X 219250  Y 500000
X 217250  Y 461000
X 208250  Y 492000
X 182250  Y 491000
X 143000  Y 459000
X 132000  Y 492000
X 139400  Y 512000
X 219250  Y 518000
X 219250  Y 528000
X 277750  Y 522000
X 342600  Y 516500
X 345500  Y 526000
X 355500  Y 505000
X 392500  Y 526800
X 392500  Y 516800
X 392500  Y 506800
X 401799  Y 516800
X 401799  Y 506800
X 401799  Y 526800
X 411799  Y 516800
X 411799  Y 506800
X 421799  Y 516800
X 421799  Y 506800
X 431799  Y 506800
X 431799  Y 516800
X 441799  Y 516800
X 441799  Y 506800
X 441799  Y 526800
X 441799  Y 576800
X 441799  Y 566800
X 431799  Y 576800
X 401799  Y 576800
X 392500  Y 536800
X 391799  Y 566800
X 390800  Y 576800
X 345500  Y 535000
X 344000  Y 538000
X 329000  Y 562500
X 329000  Y 545000
X 329000  Y 533000
X 318000  Y 538000
X 219250  Y 578000
X 219250  Y 559000
X 219250  Y 549000
X 139400  Y 573500
X 124500  Y 543500
X 129500  Y 603500
X 219250  Y 588000
X 219250  Y 618000
X 219250  Y 608000
X 320600  Y 622500
X 343500  Y 622500
X 360000  Y 623000
X 360500  Y 615500
X 361000  Y 626000
X 361000  Y 599000
X 377000  Y 614000
X 378500  Y 603500
X 386000  Y 596500
X 424500  Y 615500
X 426000  Y 596500
X 384500  Y 645500
X 381500  Y 648500
X 371500  Y 669500
X 305750  Y 678500
X 305750  Y 674500
X 305750  Y 671000
X 301750  Y 674500
X 301750  Y 671000
X 301750  Y 678500
X 276250  Y 657000
X 276250  Y 653000
X 273250  Y 676000
X 270250  Y 663000
X 270250  Y 667000
X 270250  Y 671000
X 256250  Y 653000
X 255250  Y 657000
X 219250  Y 649000
X 219250  Y 639000
X 219250  Y 668000
X 219250  Y 678000
X 148000  Y 632000
X 131500  Y 663500
X 138000  Y 693500
X 268250  Y 681000
X 268250  Y 685000
X 271250  Y 688000
X 272000  Y 684500
X 284250  Y 693000
X 286250  Y 686000
X 288250  Y 693000
X 301750  Y 683500
X 305750  Y 683500
X 308250  Y 699000
X 312000  Y 681000
X 312000  Y 702000
X 357200  Y 697900
X 359000  Y 699500
X 360500  Y 682500
X 371500  Y 680000
X 373500  Y 692000
X 447000  Y 682000
X 429000  Y 719500
X 409000  Y 726000
X 407000  Y 737500
X 401500  Y 743500
X 396000  Y 726000
X 379000  Y 719500
X 375500  Y 736000
X 375500  Y 707000
X 374000  Y 727000
X 306000  Y 730000
X 297000  Y 735000
X 246000  Y 742000
X 221000  Y 738500
X 219000  Y 731500
X 134000  Y 723500
X 134000  Y 753000
X 257500  Y 771000
X 271250  Y 769000
X 279250  Y 769000
X 287250  Y 769000
X 287250  Y 787000
X 295250  Y 769000
X 303250  Y 769000
X 320500  Y 800000
X 323500  Y 771500
X 328100  Y 800000
X 330000  Y 797000
X 330500  Y 800000
X 338500  Y 773000
X 341000  Y 798000
X 343000  Y 800500
X 355500  Y 771500
X 356000  Y 773400
X 385500  Y 764000
X 397000  Y 786000
X 401500  Y 758500
X 411600  Y 782900
X 412000  Y 780500
X 441500  Y 793000
X 442000  Y 796000
X 331500  Y 811000

Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 255050  Y 172137
X 255050  Y 162137
X 265050  Y 172137
X 265050  Y 162137
X 275050  Y 162137
X 285050  Y 162137
X 295050  Y 162137
X 305050  Y 162137
X 315050  Y 132137
X 315050  Y 162137
X 315050  Y 142137
X 315050  Y 152137
X 321358  Y 172800
X 321358  Y 122800
X 325050  Y 192137
X 219250  Y 699000
X 219250  Y 708000

Drill: .025  Tool: 3  Feed: 197  Speed: 550
X 429500  Y 199000
X 434500  Y 199000
X 135500  Y 351000
X 135500  Y 346000
X 135500  Y 376000
X 135500  Y 371000
X 135500  Y 366000
X 135500  Y 361000
X 135500  Y 356000
X 128000  Y 351000
X 128000  Y 366000
X 128000  Y 376000
X 128000  Y 361000
X 128000  Y 346000
X 128000  Y 356000
X 128000  Y 371000
X 128000  Y 401000
X 128000  Y 396000
X 128000  Y 391000
X 128000  Y 386000
X 128000  Y 381000
X 128000  Y 411000
X 128000  Y 406000
X 128000  Y 416000
X 135500  Y 401000
X 135500  Y 381000
X 135500  Y 391000
X 135500  Y 411000
X 135500  Y 396000
X 135500  Y 406000
X 135500  Y 386000
X 135500  Y 416000
X 426500  Y 675000
X 426500  Y 670000
X 419000  Y 675000
X 419000  Y 670000
X 419000  Y 685000
X 419000  Y 690000
X 419000  Y 680000
X 419000  Y 726500
X 426500  Y 680000
X 426500  Y 690000
X 426500  Y 726500
X 426500  Y 685000
X 426500  Y 736500
X 426500  Y 741500
X 426500  Y 746500
X 426500  Y 751500
X 426500  Y 731500
X 426500  Y 761500
X 426500  Y 766500
X 426500  Y 771500
X 426500  Y 756500
X 419000  Y 731500
X 419000  Y 746500
X 419000  Y 761500
X 419000  Y 741500
X 419000  Y 766500
X 419000  Y 751500
X 419000  Y 771500
X 419000  Y 736500
X 419000  Y 756500

Drill: .032  Tool: 4  Feed: 197  Speed: 550
X 109400  Y 335800
X 118300  Y 335800
X 118300  Y 426200
X 109400  Y 426200
X 436200  Y 659800
X 436200  Y 700200
X 445100  Y 700200
X 445100  Y 659800
X 445100  Y 716300
X 445100  Y 781700
X 436200  Y 716300
X 436200  Y 781700

Drill: .035  Tool: 5  Feed: 197  Speed: 550
X 419300  Y 199000
X 444700  Y 199000
X 354500  Y 455500
X 354500  Y 471000
X 354500  Y 463000

Drill: .04  Tool: 6  Feed: 139  Speed: 550
X 233500  Y 108000
X 233500  Y 138000
X 243500  Y 138000
X 253500  Y 138000
X 263500  Y 138000
X 263500  Y 108000
X 273500  Y 138000
X 273500  Y 108000
X 283500  Y 138000
X 293500  Y 138000
X 303500  Y 138000
X 303500  Y 108000

Drill: .078  Tool: 7  Feed: 81  Speed: 550
X 438800  Y 451200 X 438800  Y 435400
X 438800  Y 490600 X 438800  Y 474800

Drill: .15  Tool: 8  Feed: 35  Speed: 900
X 120000  Y 125000
X 430000  Y 125000
X 430000  Y 797500
X 120000  Y 797500

Drill: .197  Tool: 9  Feed: 35  Speed: 1033
X 417500  Y 233500
X 417500  Y 312500
X 417500  Y 550500

End of Listing
